League of United Latin American Citizens ,http://votesmart.org/interest-group/1059/league-of-united-latin-american-citizens,,,,,,,,
League of Women Voters ,http://votesmart.org/interest-group/1833/league-of-women-voters,,,,,,,,
Liberty for All  ,http://votesmart.org/interest-group/2409/liberty-for-all,,,,,,,,
Liberty Guard  ,http://votesmart.org/interest-group/2404/liberty-guard,,,,,,,,
Move to Amend  ,http://votesmart.org/interest-group/2181/move-to-amend,,,,,,,,
"National Association for the Advancement of Colored People (NAACP  people-naacp""",http://votesmart.org/interest-group/893/national-association-for-the-advancement-of-colored,,,,,,,,
National Council of La Raza  ,http://votesmart.org/interest-group/956/national-council-of-la-raza,,,,,,,,
National Gay &amp; Lesbian Task Force  ,http://votesmart.org/interest-group/545/national-gay-lesbian-task-force,,,,,,,,
National Organization for Women  ,http://votesmart.org/interest-group/1475/national-organization-for-women,,,,,,,,
People for the American Way  ,http://votesmart.org/interest-group/846/people-for-the-american-way,,,,,,,,
"PFLAG, Parents, Families and Friends of Lesbians and Gays  ",http://votesmart.org/interest-group/1764/pflag-parents-families-and-friends-of-lesbians-and-gays,,,,,,,,
Race Forward ,http://votesmart.org/interest-group/1816/race-forward,,,,,,,,
Stand Against Spying ,http://votesmart.org/interest-group/2401/stand-against-spying,,,,,,,,
The Arc  ,http://votesmart.org/interest-group/1692/the-arc,,,,,,,,
United To End Genocide ,http://votesmart.org/interest-group/1292/united-to-end-genocide,,,,,,,,
Venn Institute ,http://votesmart.org/interest-group/2403/venn-institute,,,,,,,,
60 Plus Association  ,http://votesmart.org/interest-group/282/60-plus-association,,,,,,,,
American Conservative Union  ,http://votesmart.org/interest-group/1481/american-conservative-union,,,,,,,,
Americans for Prosperity ,http://votesmart.org/interest-group/310/americans-for-prosperity,,,,,,,,
Campaign for Working Families  ,http://votesmart.org/interest-group/1086/campaign-for-working-families,,,,,,,,
Can Do Conservatives ,http://votesmart.org/interest-group/1919/can-do-conservatives,,,,,,,,
Christian Action Network ,http://votesmart.org/interest-group/902/christian-action-network,,,,,,,,
Citizens United Political Victory Fund ,http://votesmart.org/interest-group/1959/citizens-united-political-victory-fund,,,,,,,,
Concerned Women for America  ,http://votesmart.org/interest-group/134/concerned-women-for-america,,,,,,,,
ConservAmerica ,http://votesmart.org/interest-group/664/conservamerica,,,,,,,,
Conservative Congress  ,http://votesmart.org/interest-group/1963/conservative-congress,,,,,,,,
Conservative Review  ,http://votesmart.org/interest-group/2412/conservative-review,,,,,,,,
DC Works For US  ,http://votesmart.org/interest-group/2057/dc-works-for-us,,,,,,,,
Eagle Forum  ,http://votesmart.org/interest-group/1513/eagle-forum,,,,,,,,
Faith and Freedom Coalition  ,http://votesmart.org/interest-group/2025/faith-and-freedom-coalition,,,,,,,,
GOPAC  ,http://votesmart.org/interest-group/2187/gopac,,,,,,,,
GOProud  ,http://votesmart.org/interest-group/1977/goproud,,,,,,,,
GOPUSA ,http://votesmart.org/interest-group/1790/gopusa,,,,,,,,
Heritage Action for America  ,http://votesmart.org/interest-group/2061/heritage-action-for-america,,,,,,,,
House Conservatives Fund (Republican Study Committee ,http://votesmart.org/interest-group/2350/house-conservatives-fund-republican-study-committee,,,,,,,,
Keep America Safe  ,http://votesmart.org/interest-group/1974/keep-america-safe,,,,,,,,
"Legion for the Survival of Freedom, Inc. (formerly Liberty Lobby lobby""",http://votesmart.org/interest-group/1494/legion-for-the-survival-of-freedom-inc-formerly-liberty,,,,,,,,
Liberty Central  ,http://votesmart.org/interest-group/1966/liberty-central,,,,,,,,
LibertySlate ,http://votesmart.org/interest-group/1927/libertyslate,,,,,,,,
Republican Majority Campaign PAC ,http://votesmart.org/interest-group/1912/republican-majority-campaign-pac,,,,,,,,
Right March  ,http://votesmart.org/interest-group/1911/right-march,,,,,,,,
The John Birch Society ,http://votesmart.org/interest-group/1627/the-john-birch-society,,,,,,,,
The Tea Party Leadership Fund  ,http://votesmart.org/interest-group/2203/the-tea-party-leadership-fund,,,,,,,,
Traditional Values Coalition ,http://votesmart.org/interest-group/1671/traditional-values-coalition,,,,,,,,
Voices of Conservative Women ,http://votesmart.org/interest-group/2243/voices-of-conservative-women,,,,,,,,
Irregular Times/Progressive Patriots/That's My Congress  ,http://votesmart.org/interest-group/1834/irregular-timesprogressive-patriotsthats-my-congress,,,,,,,,
People for the American Way  ,http://votesmart.org/interest-group/846/people-for-the-american-way,,,,,,,,
Citizens United for Rehabilitation of Errants  ,http://votesmart.org/interest-group/1046/citizens-united-for-rehabilitation-of-errants,,,,,,,,
National Association of Police Organizations ,http://votesmart.org/interest-group/2407/national-association-of-police-organizations,,,,,,,,
National Criminal Justice Association  ,http://votesmart.org/interest-group/1691/national-criminal-justice-association,,,,,,,,
Center for Security Policy ,http://votesmart.org/interest-group/725/center-for-security-policy,,,,,,,,
Council for a Livable World  ,http://votesmart.org/interest-group/101/council-for-a-livable-world,,,,,,,,
Keep America Safe  ,http://votesmart.org/interest-group/1974/keep-america-safe,,,,,,,,
National Defense PAC ,http://votesmart.org/interest-group/1975/national-defense-pac,,,,,,,,
One Nation PAC ,http://votesmart.org/interest-group/1957/one-nation-pac,,,,,,,,
Peace Action West  ,http://votesmart.org/interest-group/812/peace-action-west,,,,,,,,
PeacePAC ,http://votesmart.org/interest-group/693/peacepac,,,,,,,,
Senate Conservatives Fund  ,http://votesmart.org/interest-group/1972/senate-conservatives-fund,,,,,,,,
Voices for Creative Nonviolence  ,http://votesmart.org/interest-group/1936/voices-for-creative-nonviolence,,,,,,,,
Women's Action for New Directions (WAND) and WILL  ,http://votesmart.org/interest-group/1197/womens-action-for-new-directions-wand-and-will,,,,,,,,
Drug Policy Alliance Network ,http://votesmart.org/interest-group/1404/drug-policy-alliance-network,,,,,,,,
"National Association for Addiction Professionals (formerly National Association of Alcohol and Drug Abuse Counselors group/1703/national-association-for-addiction-professionals-formerly-national-association-of-alcohol-and-drug-abuse-counselors""",http://votesmart.org/interest-group/1703/national-association-for-addiction-professionals-formerly-national-association-of-alcohol-and-drug-abuse-counselors,,,,,,,,
Concord Coalition  ,http://votesmart.org/interest-group/810/concord-coalition,,,,,,,,
Drum Major Institute ,http://votesmart.org/interest-group/750/drum-major-institute,,,,,,,,
Emergency Committee for American Trade ,http://votesmart.org/interest-group/1937/emergency-committee-for-american-trade,,,,,,,,
Partnership for America  ,http://votesmart.org/interest-group/1716/partnership-for-america,,,,,,,,
United States Women's Chamber of Commerce  ,http://votesmart.org/interest-group/319/united-states-womens-chamber-of-commerce,,,,,,,,
American Association for the Advancement of Science  ,http://votesmart.org/interest-group/2174/american-association-for-the-advancement-of-science,,,,,,,,
American Association of Colleges for Teacher Education ,http://votesmart.org/interest-group/2337/american-association-of-colleges-for-teacher-education,,,,,,,,
American Federation of Teachers  ,http://votesmart.org/interest-group/873/american-federation-of-teachers,,,,,,,,
American Library Association ,http://votesmart.org/interest-group/766/american-library-association,,,,,,,,
American Security Council Foundation ,http://votesmart.org/interest-group/668/american-security-council-foundation,,,,,,,,
Association For Supervision and Curriculum Development ,http://votesmart.org/interest-group/1810/association-for-supervision-and-curriculum-development,,,,,,,,
Home School Legal Defense Association  ,http://votesmart.org/interest-group/1933/home-school-legal-defense-association,,,,,,,,
Teachers of English to Speakers of Other Languages (TESOL  ,http://votesmart.org/interest-group/1757/teachers-of-english-to-speakers-of-other-languages-tesol,,,,,,,,
The American Hellenic Educational Progressive Association  ,http://votesmart.org/interest-group/1848/the-american-hellenic-educational-progressive-association,,,,,,,,
The Center for Education Reform  ,http://votesmart.org/interest-group/2183/the-center-for-education-reform,,,,,,,,
The Network for Public Education ,http://votesmart.org/interest-group/2196/the-network-for-public-education,,,,,,,,
American Benefits Council  ,http://votesmart.org/interest-group/991/american-benefits-council,,,,,,,,
Business and Professional Women USA  ,http://votesmart.org/interest-group/143/business-and-professional-women-usa,,,,,,,,
Center for Worker Freedom  ,http://votesmart.org/interest-group/1856/center-for-worker-freedom,,,,,,,,
Federally Employed Women ,http://votesmart.org/interest-group/1343/federally-employed-women,,,,,,,,
National Active and Retired Federal Employees Association  ,http://votesmart.org/interest-group/447/national-active-and-retired-federal-employees-association,,,,,,,,
National Association for the Self-Employed ,http://votesmart.org/interest-group/679/national-association-for-the-self-employed,,,,,,,,
National Employment Lawyers Association  ,http://votesmart.org/interest-group/1813/national-employment-lawyers-association,,,,,,,,
Women Employed ,http://votesmart.org/interest-group/1860/women-employed,,,,,,,,
Workplace Fairness ,http://votesmart.org/interest-group/40/workplace-fairness,,,,,,,,
American Coalition for Ethanol ,http://votesmart.org/interest-group/1211/american-coalition-for-ethanol,,,,,,,,
American Wind Energy Association ,http://votesmart.org/interest-group/1702/american-wind-energy-association,,,,,,,,
Associated Equipment Distributors  ,http://votesmart.org/interest-group/1789/associated-equipment-distributors,,,,,,,,
Consumer Alliance for Energy Security  ,http://votesmart.org/interest-group/1867/consumer-alliance-for-energy-security,,,,,,,,
Nuclear Age Peace Foundation ,http://votesmart.org/interest-group/7/nuclear-age-peace-foundation,,,,,,,,
Southern Alliance for Clean Energy Action Fund ,http://votesmart.org/interest-group/1870/southern-alliance-for-clean-energy-action-fund,,,,,,,,
United Mine Workers of America ,http://votesmart.org/interest-group/2334/united-mine-workers-of-america,,,,,,,,
60 Plus Association  ,http://votesmart.org/interest-group/282/60-plus-association,,,,,,,,
Alliance for Retired Americans ,http://votesmart.org/interest-group/959/alliance-for-retired-americans,,,,,,,,
American Association of Retired Persons (AARP  ,http://votesmart.org/interest-group/1863/american-association-of-retired-persons-aarp,,,,,,,,
American Benefits Council  ,http://votesmart.org/interest-group/991/american-benefits-council,,,,,,,,
National Committee to Preserve Social Security and Medicare  ,http://votesmart.org/interest-group/271/national-committee-to-preserve-social-security-and-medicare,,,,,,,,
National Council of Senior Citizens  ,http://votesmart.org/interest-group/1466/national-council-of-senior-citizens,,,,,,,,
Sargent Shriver National Center on Poverty Law ,http://votesmart.org/interest-group/1781/sargent-shriver-national-center-on-poverty-law,,,,,,,,
Service Employees International Union (SEIU  ,http://votesmart.org/interest-group/149/service-employees-international-union-seiu,,,,,,,,
The Retired Enlisted Association ,http://votesmart.org/interest-group/392/the-retired-enlisted-association,,,,,,,,
United Seniors Association ,http://votesmart.org/interest-group/850/united-seniors-association,,,,,,,,
American Forest and Paper Association  ,http://votesmart.org/interest-group/22/american-forest-and-paper-association,,,,,,,,
American Lands Alliance  ,http://votesmart.org/interest-group/934/american-lands-alliance,,,,,,,,
American Wilderness Coalition  ,http://votesmart.org/interest-group/1081/american-wilderness-coalition,,,,,,,,
Associated Equipment Distributors  ,http://votesmart.org/interest-group/1789/associated-equipment-distributors,,,,,,,,
Californians for Population Stabilization  ,http://votesmart.org/interest-group/988/californians-for-population-stabilization,,,,,,,,
Center for International Policy  ,http://votesmart.org/interest-group/1419/center-for-international-policy,,,,,,,,
Citizens for Global Solutions  ,http://votesmart.org/interest-group/329/citizens-for-global-solutions,,,,,,,,
Clean Water Action ,http://votesmart.org/interest-group/1938/clean-water-action,,,,,,,,
ConservAmerica ,http://votesmart.org/interest-group/664/conservamerica,,,,,,,,
Defenders of Wildlife Action Fund  ,http://votesmart.org/interest-group/109/defenders-of-wildlife-action-fund,,,,,,,,
Environment America  ,http://votesmart.org/interest-group/1826/environment-america,,,,,,,,
Food Policy Action ,http://votesmart.org/interest-group/2171/food-policy-action,,,,,,,,
Global Exchange  ,http://votesmart.org/interest-group/2136/global-exchange,,,,,,,,
League of Conservation Voters  ,http://votesmart.org/interest-group/1012/league-of-conservation-voters,,,,,,,,
National Parks Conservation Association  ,http://votesmart.org/interest-group/922/national-parks-conservation-association,,,,,,,,
Ocean Champions  ,http://votesmart.org/interest-group/1916/ocean-champions,,,,,,,,
Partnership for America  ,http://votesmart.org/interest-group/1716/partnership-for-america,,,,,,,,
Sierra Club  ,http://votesmart.org/interest-group/657/sierra-club,,,,,,,,
Southern Alliance for Clean Energy Action Fund ,http://votesmart.org/interest-group/1870/southern-alliance-for-clean-energy-action-fund,,,,,,,,
Western Organization of Resource Councils  ,http://votesmart.org/interest-group/2060/western-organization-of-resource-councils,,,,,,,,
Women's Action for New Directions (WAND) and WILL  ,http://votesmart.org/interest-group/1197/womens-action-for-new-directions-wand-and-will,,,,,,,,
National Association of Counties ,http://votesmart.org/interest-group/253/national-association-of-counties,,,,,,,,
American Shareholders Association  ,http://votesmart.org/interest-group/102/american-shareholders-association,,,,,,,,
Financial Executives International ,http://votesmart.org/interest-group/233/financial-executives-international,,,,,,,,
League of Southeastern Credit Unions ,http://votesmart.org/interest-group/2033/league-of-southeastern-credit-unions,,,,,,,,
National Association of Insurance and Financial Advisors ,http://votesmart.org/interest-group/1697/national-association-of-insurance-and-financial-advisors,,,,,,,,
Americans for Prosperity ,http://votesmart.org/interest-group/310/americans-for-prosperity,,,,,,,,
Blue Dog Coalition ,http://votesmart.org/interest-group/2333/blue-dog-coalition,,,,,,,,
Combat Veterans for Congress ,http://votesmart.org/interest-group/1955/combat-veterans-for-congress,,,,,,,,
Competitive Enterprise Institute ,http://votesmart.org/interest-group/77/competitive-enterprise-institute,,,,,,,,
GOPUSA ,http://votesmart.org/interest-group/1790/gopusa,,,,,,,,
Heritage Action for America  ,http://votesmart.org/interest-group/2061/heritage-action-for-america,,,,,,,,
Huck PAC ,http://votesmart.org/interest-group/1944/huck-pac,,,,,,,,
Independence Caucus  ,http://votesmart.org/interest-group/1925/independence-caucus,,,,,,,,
"Legion for the Survival of Freedom, Inc. (formerly Liberty Lobby lobby""",http://votesmart.org/interest-group/1494/legion-for-the-survival-of-freedom-inc-formerly-liberty,,,,,,,,
Maggie's List PAC  ,http://votesmart.org/interest-group/1930/maggies-list-pac,,,,,,,,
National Defense PAC ,http://votesmart.org/interest-group/1975/national-defense-pac,,,,,,,,
National Tax Limitation Committee  ,http://votesmart.org/interest-group/23/national-tax-limitation-committee,,,,,,,,
National Taxpayers Union ,http://votesmart.org/interest-group/872/national-taxpayers-union,,,,,,,,
One Nation PAC ,http://votesmart.org/interest-group/1957/one-nation-pac,,,,,,,,
Partnership for America  ,http://votesmart.org/interest-group/1716/partnership-for-america,,,,,,,,
Republican Liberty Caucus  ,http://votesmart.org/interest-group/88/republican-liberty-caucus,,,,,,,,
Senate Conservatives Fund  ,http://votesmart.org/interest-group/1972/senate-conservatives-fund,,,,,,,,
Tea Party Express  ,http://votesmart.org/interest-group/2158/tea-party-express,,,,,,,,
The Cato Institute ,http://votesmart.org/interest-group/529/the-cato-institute,,,,,,,,
The Libertarian Party  ,http://votesmart.org/interest-group/1115/the-libertarian-party,,,,,,,,
Freedom Democrats  ,http://votesmart.org/interest-group/1637/freedom-democrats,,,,,,,,
People for the American Way  ,http://votesmart.org/interest-group/846/people-for-the-american-way,,,,,,,,
Progressive Change Campaign Committee  ,http://votesmart.org/interest-group/2151/progressive-change-campaign-committee,,,,,,,,
Progressive Democrats of America ,http://votesmart.org/interest-group/1837/progressive-democrats-of-america,,,,,,,,
Progressive Punch  ,http://votesmart.org/interest-group/2167/progressive-punch,,,,,,,,
Food Policy Action ,http://votesmart.org/interest-group/2171/food-policy-action,,,,,,,,
International Foodservice Distributors Association ,http://votesmart.org/interest-group/1773/international-foodservice-distributors-association,,,,,,,,
United Food &amp; Commercial Workers ,http://votesmart.org/interest-group/463/united-food-commercial-workers,,,,,,,,
United Food &amp; Commercial Workers Local 400 ,http://votesmart.org/interest-group/2343/united-food-commercial-workers-local-400,,,,,,,,
ACT! for America ,http://votesmart.org/interest-group/1835/act-for-america,,,,,,,,
American Foreign Service Association ,http://votesmart.org/interest-group/171/american-foreign-service-association,,,,,,,,
American Israel Education Foundation ,http://votesmart.org/interest-group/2331/american-israel-education-foundation,,,,,,,,
American Israel Public Affairs Committee ,http://votesmart.org/interest-group/2329/american-israel-public-affairs-committee,,,,,,,,
American Muslims for Jerusalem ,http://votesmart.org/interest-group/199/american-muslims-for-jerusalem,,,,,,,,
American Security Council Foundation ,http://votesmart.org/interest-group/668/american-security-council-foundation,,,,,,,,
Arab American Institute  ,http://votesmart.org/interest-group/1509/arab-american-institute,,,,,,,,
Armenian National Committee of America ,http://votesmart.org/interest-group/1420/armenian-national-committee-of-america,,,,,,,,
Center for International Policy  ,http://votesmart.org/interest-group/1419/center-for-international-policy,,,,,,,,
Christian and Jews United for Israel ,http://votesmart.org/interest-group/2125/christian-and-jews-united-for-israel,,,,,,,,
Citizens for Global Solutions  ,http://votesmart.org/interest-group/329/citizens-for-global-solutions,,,,,,,,
Council for a Livable World  ,http://votesmart.org/interest-group/101/council-for-a-livable-world,,,,,,,,
Council on American-Islamic Relations  ,http://votesmart.org/interest-group/1364/council-on-american-islamic-relations,,,,,,,,
Friends Committee on National Legislation  ,http://votesmart.org/interest-group/437/friends-committee-on-national-legislation,,,,,,,,
Global Exchange  ,http://votesmart.org/interest-group/2136/global-exchange,,,,,,,,
J Street ,http://votesmart.org/interest-group/1962/j-street,,,,,,,,
J Street PAC ,http://votesmart.org/interest-group/2221/j-street-pac,,,,,,,,
Latin America Working Group  ,http://votesmart.org/interest-group/1065/latin-america-working-group,,,,,,,,
National Foreign Trade Council ,http://votesmart.org/interest-group/2103/national-foreign-trade-council,,,,,,,,
NewPolicy.org  ,http://votesmart.org/interest-group/1931/newpolicyorg,,,,,,,,
Nuclear Age Peace Foundation ,http://votesmart.org/interest-group/7/nuclear-age-peace-foundation,,,,,,,,
Peace Action ,http://votesmart.org/interest-group/1110/peace-action,,,,,,,,
Peace Action West  ,http://votesmart.org/interest-group/812/peace-action-west,,,,,,,,
PeacePAC ,http://votesmart.org/interest-group/693/peacepac,,,,,,,,
Resolve Uganda ,http://votesmart.org/interest-group/1876/resolve-uganda,,,,,,,,
United States Campaign to End the Israeli Occupation ,http://votesmart.org/interest-group/125/united-states-campaign-to-end-the-israeli-occupation,,,,,,,,
United To End Genocide ,http://votesmart.org/interest-group/1292/united-to-end-genocide,,,,,,,,
USA Engage ,http://votesmart.org/interest-group/970/usa-engage,,,,,,,,
